"","","GR19-MIT5","IS19-13","IS19-14"
"2603","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Polytrichales;Dawsonia;Dawsonia superba var. pulchra",1,NA,NA
"2604","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Polytrichales;Polytrichadelphus;Polytrichadelphus pseudopolytrichum",12,2,NA
"2605","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Polytrichales;Polytrichum;Polytrichum formosum",203,NA,NA
"2606","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Polytrichales;Viridiplantae environmental sample",1,NA,NA
"2607","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Pottiales;Pottia;Pottia environmental sample",8,NA,NA
"2608","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Tetraphidales;Tetraphis;Tetraphis pellucida",13,NA,NA
"2609","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Blasiales;Blasia;Blasia pusilla",10,NA,NA
"2610","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Calobryales;Haplomitrium;Haplomitrium blumei",56,NA,NA
"2611","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Fossombroniales;Petalophyllum;Petalophyllum ralfsii",9,NA,NA
"2612","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Jungermanniales;Marsupella;Marsupella emarginata",14,NA,NA
"2613","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Marchantiales;Conocephalum;Conocephalum conicum",62,NA,NA
"2614","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Marchantiales;Marchantia;Marchantia polymorpha (liverwort)",15,NA,NA
"2615","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Metzgeriales;Aneura;Aneura pinguis",10,NA,NA
"2616","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Metzgeriales;Metzgeria;Metzgeria furcata",25,NA,NA
"2617","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Metzgeriales;Moerckia;Moerckia flotoviana",21,NA,NA
"2618","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Neohodgsoniales;Neohodgsonia;Neohodgsonia mirabilis",10,NA,NA
"2619","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Pallaviciniales;Pallavicinia;Pallavicinia lyellii",172,NA,NA
"2620","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Pallaviciniales;Symphyogyna;Symphyogyna sp.",1,NA,NA
"2621","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Porellales;Cheilolejeunea;Cheilolejeunea clypeata",113,NA,NA
"2622","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Porellales;Frullania;Frullania dilatata",17,NA,NA
"2623","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Porellales;Porella;Porella pinnata",13,NA,NA
"2624","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Sphaerocarpales;Riella;Riella helicophylla",12,NA,NA
"2625","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Sphaerocarpales;Sphaerocarpos;Sphaerocarpos donnellii",14,NA,NA
"2626","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Marchantiophyta;Treubiales;Treubia;Treubia lacunosa",22,NA,NA
"2627","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Lycopodiophyta;Selaginellales;Selaginella;Selaginella moellendorffii",9,NA,NA
"2628","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Lycopodiophyta;Selaginellales;Selaginella;Selaginella vogelii",1,NA,NA
"2629","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Equisetales;Equisetaceae;Equisetum;Equisetum robustum",121,31,2
"2630","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Gleicheniales;Gleichenia;Gleichenia dicarpa",NA,5,NA
"2631","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Ophioglossales;uncultured glomeraceous AM fungus",NA,NA,2
"2632","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Polypodiales;Pteridium;Pteridium aquilinum",16,NA,NA
"2633","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Psilotales;Psilotum;Psilotum nudum",44,NA,NA
"2634","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Salviniales;Azolla;Azolla filiculoides",103,NA,NA
"2635","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Monilophyta;Salviniales;Marsilea;Marsilea schelpeana",1,NA,NA
"2636","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Celastraceae environmental sample",1,NA,NA
"2637","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Asterales;Dahlia;Dahlia pinnata",25,NA,NA
"2638","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Arabidopsis;Arabidopsis thaliana (thale cress)",63,NA,NA
"2639","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Arabis;Arabidopsis lyrata subsp. lyrata",2,NA,NA
"2640","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Brassica;Brassica juncea var. tumida",1,NA,NA
"2641","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Conringia;Conringia planisiliqua",1,NA,NA
"2642","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Noccaea;Noccaea caerulescens",1,NA,NA
"2643","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Brassicales;Thlaspi;Thlaspi arvense",NA,24,2
"2644","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Chloromonas alpina",11,4,5
"2645","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Cucurbitales;Cucumis;Cucumis sativus (cucumber)",114,NA,NA
"2646","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Fabales;Cajanus;Cajanus cajan (pigeon pea)",1,NA,NA
"2647","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Fagales;Quercus;Quercus lobata",NA,NA,6
"2648","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Asparagales;Allium;Allium cepa var. aggregatum (shallot)",1,NA,NA
"2649","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Asparagales;Asparagus;Asparagus officinalis (garden asparagus)",14,NA,NA
"2650","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Oryza;Oryza meridionalis",19,4,NA
"2651","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Oryza;Oryza meyeriana",15,NA,NA
"2652","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Triticum;Triticum aestivum (bread wheat)",38,NA,NA
"2653","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Zea;Zea mays",72,NA,NA
"2654","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Poales;Zea;Zea mays subsp. mays (maize)",117,NA,NA
"2655","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Zingiberales;Musa;Musa acuminata subsp. malaccensis",21,NA,NA
"2656","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Malpighiales;Populus;Populus euphratica",47,NA,NA
"2657","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Malvales;Gossypium;Gossypium barbadense (sea-island cotton)",101,NA,NA
"2658","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Malvales;Gossypium;Gossypium hirsutum (upland cotton)",69,NA,NA
"2659","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Phaseoleae environmental sample",73,NA,NA
"2660","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Restionaceae environmental sample",1,NA,NA
"2661","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Rosales;Cannabis;Cannabis sativa (hemp)",21,NA,NA
"2662","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Rosales;Fragaria;Fragaria vesca subsp. americana",NA,NA,4
"2663","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Rosales;Pyrus;Pyrus x bretschneideri",14,NA,NA
"2664","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Rosales;Ziziphus;Ziziphus jujuba",33,NA,4
"2665","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Saccharum hybrid cultivar",105,NA,NA
"2666","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Santalales;Choretrum;Choretrum glomeratum",7,NA,NA
"2667","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Santalales;Comandra;Comandra umbellata",49,NA,NA
"2668","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Santalales;Leptomeria;Leptomeria spinosa",1,NA,NA
"2669","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Santalales;Ombrophytum;Ombrophytum subterraneum",1,NA,NA
"2670","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Santalales;Osyridicarpos;Osyridicarpos schimperianus",1,NA,NA
"2671","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Sapindales;Atalantia;Citrus maxima",NA,22,4
"2672","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Sapindales;Citrus;Citrus maxima",NA,4,6
"2673","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Capsicum;Capsicum annuum",8,NA,NA
"2674","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Ipomoea;Ipomoea nil (Japanese morning glory)",25,NA,NA
"2675","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Nicotiana;Nicotiana tabacum (common tobacco)",50,NA,NA
"2676","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Nicotiana;Nicotiana tomentosiformis",17,NA,NA
"2677","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Petunia;Petunia axillaris",85,NA,NA
"2678","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Solanales;Withania;Withania somnifera",1,NA,NA
"2679","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;uncultured eukaryote",31,NA,NA
"2680","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Pinophyta;Araucariales;Araucaria;Araucaria cunninghamii",35,NA,NA
"2681","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Pinophyta;Chlamydomonas reinhardtii",1,NA,NA
"2682","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Pinophyta;Pinales;Pinus;Pinus taeda (loblolly pine)",18,NA,NA
"2683","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;uncultured Desmidiaceae",263,NA,NA
"2684","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;uncultured;uncultured Dunaliellaceae",1,NA,NA
"2685","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Actinotaenium;Actinotaenium silvae-nigrae f. parallelum",8,NA,NA
"2686","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium acerosum",8,NA,NA
"2687","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium gracile",1,NA,NA
"2688","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium littorale",507,NA,NA
"2689","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium sp. NIES-262",9,NA,NA
"2690","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium spinosporum var. spinosporum",1,NA,NA
"2691","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Closterium;Closterium tumidum",124,NA,NA
"2692","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Cosmarium;Cosmarium botrytis",54,NA,NA
"2693","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Cosmarium;Cosmarium notabile var. medium",73,NA,NA
"2694","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Cosmocladium;Cosmocladium saxonicum",55,NA,NA
"2695","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Euastrum;Euastrum divaricatum",23,NA,NA
"2696","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Haplotaenium;Haplotaenium minutum",54,NA,NA
"2697","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Hyalotheca;Hyalotheca mucosa",8,NA,NA
"2698","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Penium;Penium cylindrus",8,NA,NA
"2699","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Penium;Penium margaritaceum",909,NA,NA
"2700","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Penium;Penium spirostriolatum",57,NA,NA
"2701","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Staurastrum;Staurastrum punctulatum",61,NA,NA
"2702","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Staurastrum;Staurastrum sp. M752",30,NA,NA
"2703","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Staurodesmus;Staurodesmus omearii",NA,NA,2
"2704","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Desmidiales;Staurodesmus;Staurodesmus validus",1,NA,NA
"2705","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Mesotaeniaceae;Cylindrocystis sp. M3009",367,NA,NA
"2706","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;uncultured eukaryote",1566,NA,2
"2707","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Ancylonema;Ancylonema nordenskioeldii",107111,3,56
"2708","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Cylindrocystis;Cylindrocystis brebissonii",7532,NA,2
"2709","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Cylindrocystis;Cylindrocystis brebissonii var. deserti",1632,NA,2
"2710","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Cylindrocystis;Cylindrocystis crassa",157,NA,NA
"2711","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Cylindrocystis;Cylindrocystis sp. M3015",364,NA,6
"2712","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Fottea;Fottea pyrenoidosa",25401,NA,6
"2713","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mesotaenium;Mesotaenium braunii",40,NA,NA
"2714","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mesotaenium;Mesotaenium caldariorum",30,NA,6
"2715","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mesotaenium;Mesotaenium cf. chlamydosporum M-2155",297,NA,NA
"2716","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mesotaenium;Mesotaenium endlicherianum",119,NA,NA
"2717","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mesotaenium;Mesotaenium sp. AG-2009-1",309,NA,2
"2718","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mougeotia;Mougeotia scalaris",1071,NA,4
"2719","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Mougeotia;Mougeotia sp. SVCK 193",11,NA,NA
"2720","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Netrium;Netrium oblongum",334,NA,NA
"2721","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Nucleotaenium;Nucleotaenium cylindricum",25,NA,NA
"2722","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Nucleotaenium;Nucleotaenium eifelense",24,NA,NA
"2723","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Planotaenium;Planotaenium interruptum",22,NA,NA
"2724","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Roya;Roya obtusa",32,NA,NA
"2725","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygnema;Zygnema circumcarinatum",287,NA,NA
"2726","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygnema;Zygnema pseudogedeanum",101,NA,NA
"2727","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygnema;Zygnema sp. KA-2002",67,NA,NA
"2728","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygnema;Zygnema sp. M-1384",28,NA,NA
"2729","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygnemopsis;Zygnemopsis minuta",433,NA,1
"2730","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Zygnematophyceae;Zygnematales;Zygogonium;Zygogonium tunetanum",21,NA,NA
"2731","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;Tetraselmis convolutae",42,NA,NA
"2732","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;Tetraselmis marina",10,NA,NA
"2733","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;Tetraselmis sp. GSL018",54,NA,NA
"2734","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;Tetraselmis sp. KMMCC P-59",2,NA,NA
"2735","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;Tetraselmis subcordiformis",192,NA,NA
"2736","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;uncultured eukaryote",1,NA,NA
"2737","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Tetraselmis;uncultured marine eukaryote",15,NA,NA
"2738","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Caryophyllaceae environmental sample",1383,1101,185
"2739","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chaetophorales;Barranca;Barranca multiflagellata",8,NA,NA
"2740","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophora;Chaetophora incrassata",9,NA,NA
"2741","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chaetophorales;Stigeoclonium;Stigeoclonium sp. JB10",2,NA,NA
"2742","Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;Chlamydocapsa sp. MX219-VF21",93,NA,NA
